city,rank,cate,poll
香港,1,云吞,812
香港,2,蛋挞,590
香港,3,菠萝油,417
香港,4,鸳鸯奶茶,374
香港,5,烧腊,178
香港,6,车仔面,175
香港,7,杨枝甘露,161
香港,8,鱼蛋粉,158
香港,9,煎酿三宝,29
香港,10,牛腩粉,26
北京,1,北京烤鸭,1891
北京,2,炸酱面,1278
北京,3,瓷瓶儿酸奶,1256
北京,4,炒肝,859
北京,5,爆肚,837
北京,6,豆汁儿焦圈,809
北京,7,卤煮,575
北京,8,豌豆黄,453
北京,9,驴打滚,446
北京,10,冰糖葫芦,376
厦门,1,沙茶面,3347
厦门,2,海蛎煎,2396
厦门,3,花生汤,1841
厦门,4,土笋冻,1825
厦门,5,烧肉粽,1100
厦门,6,春卷,699
上海,1,生煎,479
上海,2,汤包,303
上海,3,红烧肉,68
上海,4,鲜肉月饼,54
上海,5,白斩鸡,40
上海,6,排骨年糕,35
上海,7,糕团,28
上海,8,糖醋小排,26
上海,9,酱鸭,25
上海,10,熏鱼,20
三亚,1,抱罗粉,800
三亚,2,清补凉,667
三亚,3,水果炒冰,532
三亚,4,椰子饭,523
三亚,5,文昌鸡,380
三亚,6,和乐蟹,340
三亚,7,东山羊,158
三亚,8,加积鸭,104
三亚,9,陵水酸粉,77
三亚,10,竹筒饭,25
成都,1,龙抄手,730
成都,2,豆花,564
成都,3,担担面,525
成都,4,钟水饺,491
成都,5,串串香,469
成都,6,三大炮,424
成都,7,兔头,416
成都,8,肥肠粉,389
成都,9,夫妻肺片,337
成都,10,冒菜,289
丽江,1,腊排骨,1659
丽江,2,水性杨花,995
丽江,3,酥油茶,727
丽江,4,鸡豆凉粉,709
丽江,5,黑山羊火锅,561
丽江,6,汽锅鸡,250
丽江,7,野生菌,223
丽江,8,杜鹃花炒蛋,16
西安',1,肉夹馍,1656
西安',2,灌汤包,1346
西安',3,凉皮,1176
西安',4,胡辣汤,602
西安',5,酸菜炒米,380
西安',6,冰峰汽水,312
西安',7,甑糕,230
西安',8,涮牛肚,189
西安',9,锅盔,177
西安',10,水盆羊肉,174
重庆,1,火锅,2916
重庆,2,酸辣粉,1363
重庆,3,小面,1321
重庆,4,抄手,916
重庆,5,鸡杂,755
重庆,6,豆花,660
重庆,7,毛血旺,496
重庆,8,泉水鸡,203
重庆,9,辣子鸡,180
重庆,10,水煮鱼,169
杭州,1,西湖醋鱼,805
杭州,2,东坡肉,735
杭州,3,知味小笼,701
杭州,4,龙井虾仁,276
杭州,5,宋嫂鱼羹,271
杭州,6,片儿川面,255
杭州,7,猫耳朵,196
杭州,8,西湖莼菜汤,148
杭州,9,虾爆鳝面,117
杭州,10,杭州酱鸭,107
广州,1,汤,466
广州,2,叉烧,216
广州,3,烧鹅,112
广州,4,叉烧包,87
广州,5,猪手,73
广州,6,牛河,53
广州,7,煲仔饭,50
广州,8,荷叶饭,2
广州,9,冬瓜盅,2
大理,1,破酥粑粑,792
大理,2,饵丝,622
大理,3,三道茶,445
大理,4,凉鸡米线,274
大理,5,酸辣鱼,244
大理,6,砂锅鱼,106
大理,7,生皮,62
大理,8,弓鱼,43
大理,9,卷蹄,4
台北,1,牛肉面,501
台北,2,鸡排,327
台北,3,芋圆,325
台北,4,卤肉饭,270
台北,5,蚵仔煎,215
台北,6,大肠包小肠,200
台北,7,花枝,163
台北,8,甜不辣与天妇罗,128
台北,9,盐酥鸡,72
台北,10,猪血糕,62
澳门,1,葡式蛋挞,786
澳门,2,猪扒包,703
澳门,3,木糠布甸,162
澳门,4,大菜糕,120
澳门,5,葡国鸡,93
澳门,6,马介休,81
澳门,7,金钱饼,68
澳门,8,竹升打面,48
南京,1,鸭血粉丝汤,882
南京,2,牛肉锅贴,345
南京,3,盐水鸭,312
南京,4,赤豆元宵,281
南京,5,桂花糖芋苗,189
南京,6,鸡汁汤包,170
南京,7,鸭油酥烧饼,92
南京,8,皮肚面,59
南京,9,梅花糕,50
南京,10,什锦豆腐涝,16
青岛,1,烧烤,1229
青岛,2,蛤蜊,658
青岛,3,鲅鱼,468
青岛,4,排骨饭,374
青岛,5,鲍鱼,272
青岛,6,凉粉,241
青岛,7,海螺,215
青岛,8,笔管,105
青岛,9,三鲜锅贴,32
青岛,10,肉末海参,28
苏州,1,生煎,450
苏州,2,松鼠桂鱼,189
苏州,3,碧螺虾仁,136
苏州,4,阳澄湖大闸蟹,125
苏州,5,响油鳝糊,70
苏州,6,桂花鸡头米,66
苏州,7,樱桃肉,32
苏州,8,常熟叫化鸡,32
苏州,9,莼菜汤,21
苏州,10,鲃肺汤,9
桂林,1,漓江鱼,1581
桂林,2,桂林米粉,1138
桂林,3,酿,555
桂林,4,田螺,551
桂林,5,荔浦芋扣肉,72
桂林,6,漓江虾,67
桂林,7,拔丝芋头,47
桂林,8,马蹄糕,14
桂林,9,松糕,7
桂林,10,烤乳猪,4
昆明,1,老奶洋芋,276
昆明,2,汽锅鸡,140
昆明,3,云南米线,42
昆明,4,烧饵块,40
昆明,5,大救驾,20
昆明,6,野山菌,9
昆明,7,豆焖饭,8
昆明,8,路南乳饼,1
深圳,1,鲜蚝,37
深圳,2,乳鸽,28
深圳,3,海胆,21
深圳,4,烧鹅,7
深圳,5,鲍鱼,5
深圳,6,基围虾,4
黄山,1,毛豆腐,411
黄山,2,臭鳜鱼,297
黄山,3,蟹壳黄,241
黄山,4,石鸡,61
黄山,5,蕨菜,36
黄山,6,一品锅,16
黄山,7,腊八豆腐,9
黄山,8,甜酒,2
黄山,9,芙蓉糕,2
黄山,10,豆腐老鼠,1
张家界,1,三下锅,361
张家界,2,腊野味,188
张家界,3,葛根粉,154
张家界,4,小炒肉,14
张家界,5,猕猴桃汁,14
张家界,6,血豆腐,6
拉萨,1,甜茶,634
拉萨,2,酸奶,577
拉萨,3,酥油茶,573
拉萨,4,藏面,278
拉萨,5,青稞酒,235
拉萨,6,糌粑,212
拉萨,7,凉粉,66
拉萨,8,土豆包子,34
拉萨,9,牦牛肉干,27
武汉,1,热干面,1049
武汉,2,豆皮,659
武汉,3,武昌鱼,324
武汉,4,鸭脖,320
武汉,5,鲜鱼糊汤粉,153
武汉,6,烧麦,134
武汉,7,面窝,131
武汉,8,油焖大虾,103
武汉,9,欢喜坨,39
武汉,10,排骨莲藕汤,33
青海湖,1,手抓羊肉,287
青海湖,2,老酸奶,222
青海湖,3,面片,204
青海湖,4,牦牛肉干,100
九寨沟,1,牦牛肉,383
九寨沟,2,青稞酒,316
九寨沟,3,酥油茶,289
九寨沟,4,青稞饼,129
九寨沟,5,酸奶,100
九寨沟,6,糌粑,23
九寨沟,7,荞麦面食,7
九寨沟,8,酸菜面块,1
天津,1,煎饼果子,360
天津,2,锅巴菜,223
天津,3,熟梨糕,107
天津,4,罾蹦鲤鱼,40
天津,5,爆三样,35
天津,6,八大碗,19
天津,7,笃面筋,10
天津,8,炒青虾仁,8
天津,9,贴饽饽,6
天津,10,坛子肉,1
长沙,1,臭豆腐,536
长沙,2,糖油粑粑,221
长沙,3,口味虾,185
长沙,4,杨裕兴,121
长沙,5,姊妹团子,38
长沙,6,剁椒鱼头,25
长沙,7,刮凉粉,23
长沙,8,德园,21
长沙,9,麻辣仔鸡,11
长沙,10,黄鸭叫,8
泸沽湖,1,猪膘肉,213
泸沽湖,2,咣当酒,101
泸沽湖,3,酥理玛酒,85
泸沽湖,4,烤鱼干,7
泸沽湖,5,花花糖,6
泸沽湖,6,苦荞粑粑,3
泸沽湖,7,猪血肠,2
泸沽湖,8,砣砣肉,2
泸沽湖,9,腌酸鱼,2
泸沽湖,10,泡梨,1
大连,1,五彩雪花扇贝,120
大连,2,清蒸灯笼鲍鱼,90
大连,3,焖子,82
大连,4,铁板鱿鱼,20
大连,5,清蒸加吉鱼,3
大连,6,虾酱,3
大连,7,炒海肠,2
大连,8,红烤全虾,1
乌镇,1,定胜糕,201
乌镇,2,红烧羊肉,196
乌镇,3,白水鱼,139
乌镇,4,臭豆干,16
乌镇,5,熏豆茶,14
乌镇,6,乌镇酱鸭,7
鼓浪屿,1,海鲜,1589
鼓浪屿,2,沙茶面,1370
鼓浪屿,3,鱼丸,1349
鼓浪屿,4,海蛎煎,993
鼓浪屿,5,烧仙草,905
鼓浪屿,6,土笋冻,721
鼓浪屿,7,花生汤,682
鼓浪屿,8,烧肉粽,382
凤凰古镇,1,血粑鸭,675
凤凰古镇,2,腊肉,515
凤凰古镇,3,酸汤鱼,340
凤凰古镇,4,社饭,236
凤凰古镇,5,米豆腐,220
凤凰古镇,6,凉粉,104
凤凰古镇,7,酸萝卜,94
凤凰古镇,8,桐叶粑,32
凤凰古镇,9,罐罐菌炒肉,21
凤凰古镇,10,板栗炖鸡,2
长白山,1,温泉鸡蛋,218
长白山,2,猴腿,5
阳朔,1,啤酒鱼,881
阳朔,2,酿,290
阳朔,3,斑鱼火锅,88
阳朔,4,黄焖鸡,68
阳朔,5,荔浦芋扣肉,34
阳朔,6,素炒漓江虾,5
珠海,1,横琴蚝,39
珠海,2,海虾,13
珠海,3,凤爪,7
珠海,4,莲藕,2
珠海,5,膏蟹,2
珠海,6,河虾,1
珠海,7,重壳蟹,1
珠海,8,对虾,1
珠海,9,脆肉鲩,1
呼伦贝尔,1,奶茶,305
呼伦贝尔,2,手扒肉,273
呼伦贝尔,3,烤羊腿,125
呼伦贝尔,4,风干牛肉干,85
呼伦贝尔,5,烤全羊,70
呼伦贝尔,6,马奶酒,48
西塘,1,臭豆腐,848
西塘,2,馄饨,713
西塘,3,芡实糕,440
西塘,4,豆腐花,427
西塘,5,粉蒸肉,403
西塘,6,天下第一面,212
西塘,7,粽子,161
西塘,8,荠菜包圆,107
西塘,9,馄饨老鸭煲,92
西塘,10,甜酒酿,42
北海,1,海鲜,608
北海,2,烧烤,254
北海,3,糖水,189
北海,4,卷粉,93
北海,5,猪脚粉,17
北海,6,鸡饭,13
婺源,1,荷包红鲤鱼,238
婺源,2,清明果,172
婺源,3,糊豆腐,136
婺源,4,粉蒸肉,120
婺源,5,山蕨,96
婺源,6,婺源汽糕,25
婺源,7,灰汁果,7
香格里拉-,1,酥油茶,544
香格里拉-,2,酸奶,318
香格里拉-,3,青稞酒,254
香格里拉-,4,糌粑,75
香格里拉-,5,琵琶肉,16
敦煌,1,驴肉黄面,637
敦煌,2,杏皮水,417
敦煌,3,敦煌酿皮子,130
敦煌,4,敦煌臊子面,92
敦煌,5,羊肉粉汤,54
敦煌,6,敦煌浆水面,38
垦丁,1,鱼生,169
垦丁,2,猪脚,40
垦丁,3,乌鱼子,11
垦丁,4,绿豆馔,7
峨眉山,1,豆花,110
峨眉山,2,素斋,87
峨眉山,3,抄手,85
峨眉山,4,烧烤,64
峨眉山,5,豆腐脑,54
峨眉山,6,钵钵鸡,24
峨眉山,7,卤鸭,23
峨眉山,8,咔饼,14
峨眉山,9,汤锅,14
峨眉山,10,叶儿粑,9
